OPCIONES - LISTADO DE PRECIOS COMPAÑÌAS MÁS RÁPIDAS,,,,,,,,
,TICKER,RANGO ÓPTIMO,MÍNIMO Y MÁXIMO,FECHA DE ANÁLISIS,BLOQUES,SECTORS AND INDUSTRIES,BOURSE,COMPAÑÍA
1,AMZN,$65 - $130,MIN $60 MAX $140,febrero 17 2026,TECHNOLOGY,Consumer Cyclical | Internet Retrail,NASD,"Amazon.com, Inc."
2,AAPL,$45 -$95,MIN $40 MAX $100,febrero 17 2026,,Technology | Consumer Electronics,NASD,Apple Inc.
3,GOOG,$60 - $140,MIN $50 MAX $150,febrero 17 2026,,Communication Services | Internet Content & Information,NASD,Alphabet Inc.
4,META,$50  - $170,MIN $45 MAX $175,febrero 17 2026,,Communication Services | Internet Content & Information,NASD,"Meta Platforms, Inc."
5,MSFT,$70 - $155,MIN $65 MAX $160,febrero 17 2026,,Technology | Software - Infrastructure,NASD,Microsoft Corporation
6,NFLX,$55 - $85,MIN $50 MAX $90,febrero 17 2026,,Communication Services | Entertainment,NASD,"Netflix, Inc."
7,TSLA,$80 - $160,MIN $75 MAX $170,marzo 27 2026,,Consumer Cyclical | Auto Manufacturers,NASD,"Tesla, Inc."
8,PLTR,$160 - $350,MIN $155 MAX $ 360,febrero 17 2026,,Technology | Software - Infrastructure,NASD,PLTR - Palantir Technologies Inc Stock Price and Quote
9,ORCL,$150 - $260,MIN $140 MAX $270,febrero 17 2026,,Technology | Software - Infrastructure,NASD,ORCL - Oracle Corp Stock Price and Quote
10,AMD,$65 - $140,MIN $60 MAX $145,febrero 17 2026,SEMICONDUCTORS,Technology | Semiconductors,NASD,"Advanced Micro Devices, Inc."
11,MU,$85- $140,MIN $80 MAX $150,febrero 17 2026,,Technology | Semiconductors,NASD,"Micron Technology, Inc."
12,NVDA,$80 - $170,MIN $75 MAX $175,febrero 17 2026,,Technology | Semiconductors,NASD,NVIDIA Corporation
13,QCOM,$90 - $160,MIN $80 MAX $170,febrero 17 2026,,Technology | Semiconductors,NASD,"QCOM - Qualcomm, Inc Stock Price and Quote"
14,AVGO,$90 - $140,MIN $ 85 MAX $145,febrero 17 2026,,Technology | Semiconductors,NASD,AVGO - Broadcom Inc Stock Price and Quote
15,SOXL,$100 - $200,MIN $90 MAX $210,febrero 17 2026,,Technology | Semiconductors,NASD,SOXL - Direxion Daily Semiconductor Bull 3X Shares Stock Price and Quote
16,DASH,$40 - $130,MIN $40 MAX $135,febrero 17 2026,SOFTWARE - APP,Communication Services | Internet Content & Information,NYSE,"DoorDash, Inc."
17,LYFT,$25 - $50,MIN $25 MAX $55,febrero 17 2026,,Technology | Software - Application,NASD,"Lyft, Inc."
18,UBER,$35 - $60,MIN $30 MAX $65,febrero 17 2026,,Technology | Software - Application,NYSE,"Uber Technologies, Inc."
19,HD,$160 - $250,MIN $150 MAX $260,febrero 17 2026,CONSUMER,Consumer Cyclical | Home Improvement Retail,NYSE,"The Home Depot, Inc."
20,LOW,$75 - $150,MIN $75 MAX $155,febrero 17 2026,,Consumer Cyclical | Home Improvement Retail,NYSE,"Lowe's Companies, Inc."
21,WMT,$60 - $110,MIN $55 MAX $115,febrero 17 2026,,Consumer Defensive | Discount Stores,NYSE,Walmart Inc.
22,DIA,$130 - $220,MIN $120 MAX $230,febrero 23 2026,INDEX - USA,Financial | Exchange Traded Fund,NYSE,SPDR Dow Jones Industrial Average ETF Trust
23,QQQ,$30 - $60,MIN $25 MAX $65,febrero 18 2026,,Financial | Exchange Traded Fund,NASD,Invesco QQQ Trust
24,SPY,$30 - $45,MIN $25 MAX $50,febrero 18 2026,,Financial | Exchange Traded Fund,NYSE,SPDR S&P 500 ETF Trust
25,SPX,$380 - $550,MIN $370 MAX $560,febrero 18 2026,,Financial | Exchange Traded Fund,NYSE,SPDR S&P 500 ETF Trust
26,IWM,$40 - $70,MIN $35 MAX $70,febrero 18 2026,,Financial | Exchange Traded Fund,NYSE,iShares Russell 2000 ETF
27,TNA,$20 - $60,MIN $20 MAX $65,febrero 18 2026,,Financial | Exchange Traded Fund,NYSE,Direxion Daily Small Cap Bull 3X Shares
28,AXP,$100 - $240,MIN $100 MAX $240,febrero 18 2026,CARDS,Financial | Credit Services,NYSE,American Express Company
29,C,$40 - $70,MIN $35 MAX $80,febrero 18 2026,,,,
30,MA,$100 - $175,MIN $95 MAX $180,febrero 18 2026,,Financial | Credit Services,NYSE,Mastercard Incorporated
31,PYPL,$30 - $60,MIN $25 MAX $65,febrero 18 2026,,Financial | Credit Services,NASD,"PayPal Holdings, Inc."
32,V,$75 - $180,MIN $70 MAX $185,febrero 18 2026,,Financial | Credit Services,NYSE,Visa Inc.
33,BABA,$40 - $80,MIN $40 MAX $85,febrero 18 2026,CHINA,Consumer Cyclical | Internet Retrail,NYSE,Alibaba Group Holding Limited
34,LI,$30 - $60,MIN $25MAX $70,febrero 18 2026,,Consumer Cyclical | Auto Manufacturers,NASD,Li Auto Inc.
35,NIO,$30 - $75,MIN $25 MAX $75,febrero 18 2026,,Consumer Cyclical | Auto Manufacturers,NYSE,NIO Inc.
36,XPEV,$60 - $100,MIN $55 MAX $100,febrero 18 2026,,Consumer Cyclical | Auto Manufacturers,NYSE,XPeng Inc.
37,GLD,$60 - $120,MIN $50 MAX $130,febrero 18 2026,COMMODITY,Financial | Closed-End Fund - Equity,NYSE,The GDL Fund
38,SLV,$60 - $75,MIN $55 MAX $80,febrero 18 2026,,Financial | Exchange Traded Fund,NYSE,iShares Silver Trust
39,USO,$50 - $100,MIN $45 MAX $105,febrero 18 2026,,Financial | Exchange Traded Fund,NYSE,"United States Oil Fund, LP"
40,COIN,$100 - $150,MIN $95 MAX $160,febrero 18 2026,FINANCIAL / DATA,Financial | Financial Data & Stock Exchanges,NASD,"Coinbase Global, Inc."
41,HOOD,$60 - $90,MIN $60 MAX $ 95,febrero 18 2026,,Financial | Financial Data & Stock Exchanges,NASD,HOOD - Robinhood Markets Inc Stock Price and Quote
42,CVS,$75 - $135,MIN $70 MAX $140,febrero 18 2026,HEALTCARE,Healthcare | Healthcare Plans,NYSE,CVS Health Corporation
43,MRNA,$65 - $100,MIN $60 MAX $105,febrero 18 2026,,Healthcare | Biotechnology,NASD,"Moderna, Inc."
44,PFE,$30 - $70,MIN $25 MAX $75,febrero 18 2026,,Healthcare | Drug Manufacturers - General,NYSE,Pfizer Inc.
45,BA,$55 - $105,MIN $50 MAX $110,febrero 18 2026,INDUSTRIALS,Industrials | Aerospace & Defense,NYSE,The Boeing Company
46,URA,$55 - $75,MIN $55 MAX $80,febrero 18 2026,NUCLEAR ENERGY,Financial | Exchange Traded Fund,NYSE,URA - Global X Uranium ETF Stock Price and Quote
,,,,,,,,
,,,,,,,,
,ACTIVOS - LOW COST - LISTADO DE PECIOS,,,,,,,
,COMPAÑÍA,RANGO ÓPTIMO,MÍNIMO Y MÁXIMO,FECHA DE ANÁLISIS,BLOQUES,SECTORS AND INDUSTRIES,BLOQUES,COMPAÑÍA
47,CCL,$25 -$45,MIN $25 MAX $50,febrero 18 2026,CRUISES,Consumer Cyclical | Travel Services,NYSE,Carnival Corporation & plc
48,RCL,$80 - $140,MIN $ 75 MAX 145,febrero 18 2026,,Consumer Cyclical | Travel Services,NYSE,Royal Caribbean Cruises Ltd.
49,AAL,$40 - $80,MIN $35 MAX $85,febrero 18 2026,AERONAUTICAL,Industrials | Airlines,NYSE,American Airlines Group Inc.
50,DAL,$40 - $65,MIN $35 MAX $70,febrero 18 2026,,Consumer Cyclical | Travel Services,NYSE,"Delta Air Lines, Inc."
51,TZA,,,,INDEX,Financial | Exchange Traded Fund,NYSE,Direxion Daily Small Cap Bear 3X Shares
